WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.82457585 -41.3124817667),387674,344843,Road,,17,,,,,Miramar,Wellington,17,Awa Road,"17 Awa Road, Miramar, Wellington",81622,174.82457585,-41.31248177,,,Miramar,Wellington,Awa Road,"17 Awa Road, Miramar, Wellington",174.82457585,-41.3124817667
POINT (174.8240167667 -41.3117460833),387798,344950,Road,,28,,,,,Miramar,Wellington,28,Darlington Road,"28 Darlington Road, Miramar, Wellington",84242,174.82401677,-41.31174608,,,Miramar,Wellington,Darlington Road,"28 Darlington Road, Miramar, Wellington",174.8240167667,-41.3117460833
POINT (174.82370565 -41.314564),388052,345183,Road,,5,,,,,Miramar,Wellington,5,Barretts Way,"5 Barretts Way, Miramar, Wellington",76221,174.82370565,-41.31456400,,,Miramar,Wellington,Barretts Way,"5 Barretts Way, Miramar, Wellington",174.82370565,-41.314564
POINT (174.8240475667 -41.31306805),388056,345187,Road,,5,,,,,Miramar,Wellington,5,Awa Road,"5 Awa Road, Miramar, Wellington",80884,174.82404757,-41.31306805,,,Miramar,Wellington,Awa Road,"5 Awa Road, Miramar, Wellington",174.8240475667,-41.31306805
POINT (174.8210094667 -41.3240341167),388626,345712,Road,,32,,,,,Miramar,Wellington,32,Westview Grove,"32 Westview Grove, Miramar, Wellington",91784,174.82100947,-41.32403412,,,Miramar,Wellington,Westview Grove,"32 Westview Grove, Miramar, Wellington",174.8210094667,-41.3240341167
POINT (174.82052175 -41.3199415),388920,345984,Road,,64,,,,,Miramar,Wellington,64,Ira Street,"64 Ira Street, Miramar, Wellington",91548,174.82052175,-41.31994150,,,Miramar,Wellington,Ira Street,"64 Ira Street, Miramar, Wellington",174.82052175,-41.3199415
POINT (174.8265141833 -41.3044766333),393503,349969,Road,,146,,,,,Miramar,Wellington,146,Darlington Road,"146 Darlington Road, Miramar, Wellington",100665,174.82651418,-41.30447663,,,Miramar,Wellington,Darlington Road,"146 Darlington Road, Miramar, Wellington",174.8265141833,-41.3044766333
POINT (174.8267280667 -41.30520195),393996,350432,Road,,2,,,,,Miramar,Wellington,2,Greenview Way,"2 Greenview Way, Miramar, Wellington",96584,174.82672807,-41.30520195,,,Miramar,Wellington,Greenview Way,"2 Greenview Way, Miramar, Wellington",174.8267280667,-41.30520195
POINT (174.8125704167 -41.3141101),1050314,929943,Road,,13,,,,,Miramar,Wellington,13,Ropa Lane,"13 Ropa Lane, Miramar, Wellington",81205,174.81257042,-41.31411010,,,Miramar,Wellington,Ropa Lane,"13 Ropa Lane, Miramar, Wellington",174.8125704167,-41.3141101
POINT (174.8148616333 -41.3142373667),1598292,1376884,Road,,5,,,,,Miramar,Wellington,5,Tahi Street,"5 Tahi Street, Miramar, Wellington",349364,174.81486163,-41.31423737,,,Miramar,Wellington,Tahi Street,"5 Tahi Street, Miramar, Wellington",174.8148616333,-41.3142373667
POINT (174.82156225 -41.3181330667),1648416,1409815,Road,,23,,,,,Miramar,Wellington,23,Mander Place,"23 Mander Place, Miramar, Wellington",73769,174.82156225,-41.31813307,,,Miramar,Wellington,Mander Place,"23 Mander Place, Miramar, Wellington",174.82156225,-41.3181330667
POINT (174.81794035 -41.31649005),1659724,1417113,Road,,85,,,,,Miramar,Wellington,85,Miramar Avenue,"85 Miramar Avenue, Miramar, Wellington",349356,174.81794035,-41.31649005,,,Miramar,Wellington,Miramar Avenue,"85 Miramar Avenue, Miramar, Wellington",174.81794035,-41.31649005
POINT (174.8181756 -41.3121497667),1694811,1439630,Road,,24,,,,,Miramar,Wellington,24,Rex Street,"24 Rex Street, Miramar, Wellington",83829,174.81817560,-41.31214977,,,Miramar,Wellington,Rex Street,"24 Rex Street, Miramar, Wellington",174.8181756,-41.3121497667
POINT (174.8242958 -41.3205137),1623378,1705342,Road,,177,A,,,,Miramar,Wellington,177A,Townsend Road,"177A Townsend Road, Miramar, Wellington",90072,174.82429580,-41.32051370,,,Miramar,Wellington,Townsend Road,"177A Townsend Road, Miramar, Wellington",174.8242958,-41.3205137
POINT (174.8105733833 -41.32027245),1652371,1711982,Road,,106,B,,,,Miramar,Wellington,106B,Wexford Road,"106B Wexford Road, Miramar, Wellington",77504,174.81057338,-41.32027245,,,Miramar,Wellington,Wexford Road,"106B Wexford Road, Miramar, Wellington",174.8105733833,-41.32027245
POINT (174.8175034 -41.3138519667),1668524,1802625,Road,2,47,,,,,Miramar,Wellington,2/47,Park Road,"2/47 Park Road, Miramar, Wellington",80934,174.81750340,-41.31385197,,,Miramar,Wellington,Park Road,"2/47 Park Road, Miramar, Wellington",174.8175034,-41.3138519667
POINT (174.8132508 -41.3186450667),383241,340705,Road,,6,,,,,Miramar,Wellington,6,Southampton Road,"6 Southampton Road, Miramar, Wellington",349369,174.81325080,-41.31864507,,,Miramar,Wellington,Southampton Road,"6 Southampton Road, Miramar, Wellington",174.8132508,-41.3186450667
POINT (174.8139861833 -41.3201709),383300,340762,Road,,86,,,,,Miramar,Wellington,86,Hobart Street,"86 Hobart Street, Miramar, Wellington",85268,174.81398618,-41.32017090,,,Miramar,Wellington,Hobart Street,"86 Hobart Street, Miramar, Wellington",174.8139861833,-41.3201709
POINT (174.8100538167 -41.3210157833),383312,340774,Road,,8,,,,,Miramar,Wellington,8,Caledonia Street,"8 Caledonia Street, Miramar, Wellington",76857,174.81005382,-41.32101578,,,Miramar,Wellington,Caledonia Street,"8 Caledonia Street, Miramar, Wellington",174.8100538167,-41.3210157833
POINT (174.8141964167 -41.3198888667),383327,340788,Road,,92,,,,,Miramar,Wellington,92,Hobart Street,"92 Hobart Street, Miramar, Wellington",85268,174.81419642,-41.31988887,,,Miramar,Wellington,Hobart Street,"92 Hobart Street, Miramar, Wellington",174.8141964167,-41.3198888667
POINT (174.8244311167 -41.3072953667),387885,345028,Road,,38,,,,,Miramar,Wellington,38,Camperdown Road,"38 Camperdown Road, Miramar, Wellington",81334,174.82443112,-41.30729537,,,Miramar,Wellington,Camperdown Road,"38 Camperdown Road, Miramar, Wellington",174.8244311167,-41.3072953667
POINT (174.8200272167 -41.3129345333),387957,345094,Road,,46,,,,,Miramar,Wellington,46,Rex Street,"46 Rex Street, Miramar, Wellington",97559,174.82002722,-41.31293453,,,Miramar,Wellington,Rex Street,"46 Rex Street, Miramar, Wellington",174.8200272167,-41.3129345333
POINT (174.8185015833 -41.3129830333),388081,345212,Road,,63,,,,,Miramar,Wellington,63,Park Road,"63 Park Road, Miramar, Wellington",349343,174.81850158,-41.31298303,,,Miramar,Wellington,Park Road,"63 Park Road, Miramar, Wellington",174.8185015833,-41.3129830333
POINT (174.8208812667 -41.3220078667),388460,345559,Road,,18,,,,,Miramar,Wellington,18,Madison Place,"18 Madison Place, Miramar, Wellington",94349,174.82088127,-41.32200787,,,Miramar,Wellington,Madison Place,"18 Madison Place, Miramar, Wellington",174.8208812667,-41.3220078667
POINT (174.8225667667 -41.3226070667),388627,345713,Road,,32,,,,,Miramar,Wellington,32,Wilberforce Street,"32 Wilberforce Street, Miramar, Wellington",93519,174.82256677,-41.32260707,,,Miramar,Wellington,Wilberforce Street,"32 Wilberforce Street, Miramar, Wellington",174.8225667667,-41.3226070667
POINT (174.8278785 -41.3061840167),393782,350232,Road,,106,,,,,Miramar,Wellington,106,Totara Road,"106 Totara Road, Miramar, Wellington",78784,174.82787850,-41.30618402,,,Miramar,Wellington,Totara Road,"106 Totara Road, Miramar, Wellington",174.8278785,-41.3061840167
